Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2025-08-08T19:05:39+10:00,2025-08-08T18:37:39+10:00,,Unoccupied,61532,"-37.818834738617184, 144.95921629702167"
2025-08-08T19:05:39+10:00,2025-06-17T20:50:47+10:00,7227,Unoccupied,18562,"-37.819089924762366, 144.94931493639706"
2025-08-08T19:05:39+10:00,2025-08-08T08:48:17+10:00,7222,Unoccupied,20626,"-37.82055869070746, 144.9429319583788"
2025-08-08T19:05:39+10:00,2025-08-08T18:57:49+10:00,7457,Unoccupied,61416,"-37.81856181478064, 144.95999890529984"
2025-08-08T19:05:39+10:00,2025-03-16T03:58:44+11:00,,Unoccupied,64248,"-37.81049960200317, 144.97223311068126"
2025-08-08T19:05:39+10:00,2023-10-16T11:42:09+11:00,7213,Unoccupied,18525,"-37.820920432409906, 144.94428227453616"
2025-08-08T19:05:39+10:00,2025-08-08T15:18:29+10:00,7167,Unoccupied,17490,"-37.82035031334955, 144.94233273035633"
2025-08-08T19:05:39+10:00,2025-07-28T07:33:29+10:00,7167,Unoccupied,17483,"-37.82033122611111, 144.94178443111818"
2025-08-08T19:05:39+10:00,2025-08-08T17:41:48+10:00,7207,Unoccupied,20602,"-37.82028919406282, 144.94443776071222"
2025-08-08T19:05:39+10:00,2025-08-08T15:02:17+10:00,7207,Unoccupied,20603,"-37.82034636685942, 144.94446289451076"
2025-08-08T19:05:39+10:00,2025-08-08T14:34:25+10:00,7207,Unoccupied,20604,"-37.820395686077376, 144.94448619160318"
2025-08-08T19:05:39+10:00,2025-08-08T15:42:53+10:00,7207,Unoccupied,20606,"-37.820319177118286, 144.94455379697746"
2025-08-08T19:05:39+10:00,2025-08-08T16:30:05+10:00,7214,Unoccupied,20621,"-37.81969672078945, 144.9458806148036"
2025-08-08T19:05:39+10:00,2025-08-08T16:54:16+10:00,7214,Unoccupied,20622,"-37.81975190227377, 144.9458951018895"
2025-08-08T19:05:39+10:00,2025-08-08T18:17:36+10:00,7214,Unoccupied,20923,"-37.82032788923816, 144.94604541207383"
2025-08-08T19:05:39+10:00,2025-08-08T18:06:51+10:00,7214,Unoccupied,20925,"-37.82044961672015, 144.94607732811323"
2025-08-08T19:05:39+10:00,2024-03-13T14:38:29+11:00,7695,Unoccupied,55523,"-37.81833041275837, 144.95933285947388"
2025-08-08T19:05:39+10:00,2024-12-25T16:16:36+11:00,7165,Unoccupied,15337,"-37.81881247718192, 144.94768061587257"
2025-08-08T19:05:39+10:00,2025-08-08T14:28:36+10:00,7173,Unoccupied,13471,"-37.81926491040353, 144.94577454521684"
2025-08-08T19:05:39+10:00,2025-08-08T17:20:07+10:00,7173,Unoccupied,13468,"-37.819298252193164, 144.94565893411232"
2025-08-08T19:05:39+10:00,2025-08-08T13:16:19+10:00,7178,Unoccupied,13431,"-37.819875129746634, 144.94335166192775"
2025-08-08T19:05:39+10:00,2025-08-08T17:21:18+10:00,7178,Unoccupied,13402,"-37.81994431226503, 144.94342014841737"
2025-08-08T19:05:39+10:00,2025-08-08T15:07:53+10:00,7178,Unoccupied,13430,"-37.81989373700138, 144.94328768101258"
2025-08-08T19:05:39+10:00,2025-05-12T10:58:10+10:00,7197,Unoccupied,20872,"-37.81972263913978, 144.9452378507582"
2025-08-08T19:05:39+10:00,2025-08-08T15:58:57+10:00,7273,Unoccupied,50649,"-37.80832264879308, 144.9716444141046"
2025-08-08T19:05:39+10:00,2025-07-31T01:40:49+10:00,7188,Unoccupied,17693,"-37.82060324744333, 144.94031698277732"
2025-08-08T19:05:39+10:00,2025-08-08T17:29:51+10:00,7182,Unoccupied,23360,"-37.82115283682411, 144.94226462406135"
2025-08-08T19:05:39+10:00,2023-09-07T12:03:53+10:00,,Unoccupied,23364,"-37.81516717307889, 144.96090287882657"
2025-08-08T19:05:39+10:00,2025-08-08T18:24:14+10:00,7593,Unoccupied,53945,"-37.818545919460334, 144.96220366659048"
2025-08-08T19:05:39+10:00,2025-06-02T19:31:32+10:00,7571,Unoccupied,65645,"-37.81392917545562, 144.95657209636693"
2025-08-08T19:05:39+10:00,2025-06-02T19:33:00+10:00,7571,Unoccupied,65653,"-37.814012968403425, 144.95627874662682"
